number_of_trees,criterion,maximal_depth,apply_pruning,confidence,apply_prepruning,minimal_gain,minimal_leaf_size,minimal_size_for_split,number_of_prepruning_alternatives,random_splits,guess_subset_ratio,subset_ratio,voting_strategy,use_local_random_seed,local_random_seed,enable_parallel_execution,PREC_AT_99_REC
200,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7779
500,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7858
50,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.8236
50,accuracy,20,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.8292
50,accuracy,20,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
50,accuracy,20,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
200,accuracy,20,true,0.25,false,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.8528
200,accuracy,20,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.8584
50,accuracy,20,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.8586
50,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.8602
500,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.8626
50,accuracy,20,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.8632
500,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,20,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,20,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,20,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
200,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
50,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
50,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
200,accuracy,20,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,20,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,20,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
50,accuracy,20,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,20,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,20,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
50,accuracy,20,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,20,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,20,true,0.25,true,5,500,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.4665
200,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.4673
500,accuracy,50,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.4917
200,accuracy,50,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.5091
500,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.5127
50,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.5277
50,accuracy,50,true,0.25,true,0.1,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.5429
50,accuracy,50,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.5514
200,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.5532
200,accuracy,50,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5608
200,accuracy,50,false,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5608
500,accuracy,50,true,0.25,true,0.1,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.5629
500,accuracy,50,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5635
500,accuracy,50,false,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5635
50,accuracy,50,true,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5638
50,accuracy,50,false,0.25,true,0.1,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.5638
200,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5661
200,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5661
500,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5673
500,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5673
500,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.5679
50,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5884
50,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.5884
50,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.5887
500,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.6839
50,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.7349
500,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7543
200,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.7753
200,accuracy,50,true,0.25,true,0.1,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.7754
500,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7756
500,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7756
200,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7779
200,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.7779
50,accuracy,50,true,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
50,accuracy,50,true,0.25,true,0.1,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
50,accuracy,50,false,0.25,true,0.1,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.833
50,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.8632
500,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9482
500,accuracy,50,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,50,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
500,accuracy,50,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9483
200,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
200,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
500,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9537
50,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.8,confidence_vote, false,null,true,0.9539
50,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
50,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9541
200,accuracy,50,true,0.25,true,0.5,2,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,50,true,0.25,true,0.5,20,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
200,accuracy,50,true,0.25,true,0.5,500,4,3, false,false,0.3,confidence_vote, false,null,true,0.9542
50,accuracy,50,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,50,true,0.25,true,0.5,2,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,50,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,50,true,0.25,true,0.5,20,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,50,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
200,accuracy,50,true,0.25,true,0.5,500,4,3, false,true,0.3,confidence_vote, false,null,true,0.9544
50,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.3,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,2,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,20,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,500,4,3, false,false,0.8,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,2,4,3, false,true,0.3,confidence_vote, false,null,true,NA
50,accuracy,50,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
200,accuracy,50,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
500,accuracy,50,true,0.25,true,5,20,4,3, false,true,0.3,confidence_vote, false,null,true,NA
