laplace_correction,estimation_mode,bandwidth_selection,bandwidth,minimum_bandwidth,number_of_kernels,use_application_grid,application_grid_size,PREC_AT_99_REC
true,greedy,heuristic,0.001,500,500,true,50,0.1977
false,greedy,heuristic,0.001,500,500,true,50,0.1977
true,greedy,heuristic,0.001,1000,500,true,50,0.1977
false,greedy,heuristic,0.001,1000,500,true,50,0.1977
true,greedy,heuristic,0.001,0.1,1000,true,50,0.7369
false,greedy,heuristic,0.001,0.1,1000,true,50,0.7369
true,greedy,heuristic,0.001,0.001,1000,true,50,0.5025
false,greedy,heuristic,0.001,0.001,1000,true,50,0.5042
true,greedy,heuristic,0.001,1,1000,true,50,0.1424
false,greedy,heuristic,0.001,1,1000,true,50,0.1424
true,greedy,heuristic,0.001,5,1000,true,50,0.0963
false,greedy,heuristic,0.001,5,1000,true,50,0.0963
true,greedy,heuristic,0.001,10,1000,true,50,0.04
false,greedy,heuristic,0.001,10,1000,true,50,0.04
true,greedy,heuristic,0.001,20,1000,true,50,0.0527
false,greedy,heuristic,0.001,20,1000,true,50,0.0527
true,greedy,heuristic,0.001,50,1000,true,50,0.131
false,greedy,heuristic,0.001,50,1000,true,50,0.131
true,greedy,heuristic,0.001,100,1000,true,50,0.1756
false,greedy,heuristic,0.001,100,1000,true,50,0.1756
true,greedy,heuristic,0.001,500,1000,true,50,0.1978
false,greedy,heuristic,0.001,500,1000,true,50,0.1978
true,greedy,heuristic,0.001,1000,1000,true,50,0.1964
false,greedy,heuristic,0.001,1000,1000,true,50,0.1964
true,greedy,heuristic,0.001,0.1,1,true,100,0.6447
false,greedy,heuristic,0.001,0.1,1,true,100,0.4648
true,greedy,heuristic,0.001,0.001,1,true,100,0.6495
false,greedy,heuristic,0.001,0.001,1,true,100,0.7413
true,greedy,heuristic,0.001,1,1,true,100,0.246
false,greedy,heuristic,0.001,1,1,true,100,0.2692
true,greedy,heuristic,0.001,5,1,true,100,0.0394
false,greedy,heuristic,0.001,5,1,true,100,0.0234
true,greedy,heuristic,0.001,10,1,true,100,0.149
false,greedy,heuristic,0.001,10,1,true,100,0.0902
true,greedy,heuristic,0.001,20,1,true,100,0.1748
false,greedy,heuristic,0.001,20,1,true,100,0.1288
true,greedy,heuristic,0.001,50,1,true,100,0.3289
false,greedy,heuristic,0.001,50,1,true,100,0.2301
true,greedy,heuristic,0.001,100,1,true,100,0.6083
