FR,TR,Name,REP,START,END,TIM,EN
1700.0,1,01,8,1405265848.675657394,1405265959.961080249,111.285422855,11100.708867
1800.0,16,01,2,1405270752.405763824,1405270762.332757120,9.926993296,1713.69786
1800.0,16,01,3,1405270764.786772855,1405270776.175344220,11.388571365,1930.739157
1800.0,16,01,4,1405270778.629943702,1405270788.399446636,9.769502934,1732.87073
1800.0,16,01,5,1405270790.853303455,1405270801.972686093,11.119382638,1898.897246
1800.0,16,01,6,1405270802.657292465,1405270813.491397493,10.834105028,1836.741597
1800.0,16,01,7,1405270814.943794704,1405270825.930549123,10.986754419,1878.312034
1800.0,16,01,8,1405270826.614731673,1405270837.103503617,10.488771944,1821.758541
1800.0,8,01,2,1405272628.918624806,1405272646.568748713,17.650123907,2471.868664
1800.0,8,01,3,1405272649.064101354,1405272667.365624469,18.301523115,2535.444304
1800.0,8,01,4,1405272668.817742477,1405272687.948647413,19.130904936,2631.058754
1800.0,8,01,5,1405272688.599500476,1405272706.699817906,18.100317430,2520.408
1800.0,8,01,6,1405272709.156100553,1405272727.236330967,18.080230414,2524.747975
1800.0,8,01,7,1405272728.690366119,1405272747.417884203,18.727518084,2588.802726
1800.0,8,01,8,1405272748.872011277,1405272767.192223193,18.320211916,2544.845665
1800.0,32,01,2,1405274666.604450601,1405274674.478788184,7.874337583,1540.475562
1800.0,32,01,3,1405274676.937455319,1405274684.684689735,7.747234416,1528.478279
1800.0,32,01,4,1405274687.140237312,1405274696.139812358,8.999575046,1731.897492
1800.0,32,01,5,1405274696.831991087,1405274705.219609878,8.387618791,1632.358457
1800.0,32,01,6,1405274706.682266831,1405274715.896106980,9.213840149,1771.124892
1800.0,32,01,7,1405274716.547106392,1405274726.372721396,9.825615004,1847.516749
1800.0,32,01,8,1405274728.829251742,1405274737.545596608,8.716344866,1672.910179
1800.0,4,01,2,1405276676.977091638,1405276711.371746141,34.394654503,4146.33673
1800.0,4,01,3,1405276712.828584989,1405276748.095760842,35.267175853,4260.380095
1800.0,4,01,4,1405276748.866877726,1405276785.590890839,36.724013113,4409.848294
1800.0,4,01,5,1405276786.240658111,1405276820.091049856,33.850391745,4102.95022
1800.0,4,01,6,1405276820.781416762,1405276858.256291429,37.474874667,4514.453881
1800.0,4,01,7,1405276860.712802414,1405276895.166019857,34.453217443,4179.569402
1800.0,4,01,8,1405276896.619292385,1405276932.845574306,36.226281921,4350.076579
1800.0,2,01,2,1405279333.104206747,1405279403.055317388,69.951110641,7582.812415
1800.0,2,01,3,1405279404.512978504,1405279472.820597642,68.307619138,7449.863793
1800.0,2,01,4,1405279474.277727440,1405279543.669875160,69.392147720,7561.166288
1800.0,2,01,5,1405279544.323330566,1405279615.778892183,71.455561617,7789.049319
1800.0,2,01,6,1405279616.432948487,1405279683.797396883,67.364448396,7311.525374
1800.0,2,01,7,1405279684.482426316,1405279751.989963686,67.507537370,7355.808765
1800.0,2,01,8,1405279752.667249025,1405279821.127959150,68.460710125,7428.768404
1800.0,1,01,2,1405283070.769119461,1405283178.143752457,107.374632996,10870.661505
1800.0,1,01,3,1405283180.610372321,1405283286.878785935,106.268413614,10730.15518
1800.0,1,01,4,1405283288.372635325,1405283395.779445997,107.406810672,10881.964848
1800.0,1,01,5,1405283396.437862864,1405283502.145836186,105.707973322,10689.14498
1800.0,1,01,6,1405283502.802736267,1405283608.597127431,105.794391164,10685.654125
1800.0,1,01,7,1405283611.063514541,1405283717.100047995,106.036533454,10711.242675
1800.0,1,01,8,1405283718.561234648,1405283824.403976714,105.842742066,10687.912193
1900.0,16,01,2,1405288454.615853171,1405288464.266821801,9.650968630,1709.577402
1900.0,16,01,3,1405288466.762831184,1405288477.033044945,10.270213761,1824.791748
1900.0,16,01,4,1405288478.482494598,1405288488.541740846,10.059246248,1792.659642
1900.0,16,01,5,1405288490.995708693,1405288501.963182332,10.967473639,1925.071548
1900.0,16,01,6,1405288502.611318374,1405288513.541383944,10.930065570,1922.153429
1900.0,16,01,7,1405288514.992566511,1405288525.382771078,10.390204567,1841.876987
1900.0,16,01,8,1405288526.832006215,1405288537.725221935,10.893215720,1954.984464
1900.0,8,01,2,1405290252.709094376,1405290269.820269714,17.111175338,2470.393911
1900.0,8,01,3,1405290270.471314351,1405290288.538016055,18.066701704,2606.24146
1900.0,8,01,4,1405290291.036629330,1405290308.063801447,17.027172117,2455.324834
1900.0,8,01,5,1405290308.746198741,1405290327.141956975,18.395758234,2627.603765
1900.0,8,01,6,1405290328.596696064,1405290346.238481910,17.641785846,2547.0471
1900.0,8,01,7,1405290348.732039659,1405290366.487918362,17.755878703,2527.835553
1900.0,8,01,8,1405290368.949420712,1405290387.260615033,18.311194321,2580.660344
1900.0,32,01,2,1405292186.287264909,1405292193.466068716,7.178803807,1464.279457
1900.0,32,01,3,1405292194.916699176,1405292201.915976569,6.999277393,1434.841616
1900.0,32,01,4,1405292202.564360065,1405292208.927289658,6.362929593,1343.235222
1900.0,32,01,5,1405292210.380022259,1405292218.266727638,7.886705379,1603.158359
1900.0,32,01,6,1405292220.730139958,1405292227.538424253,6.808284295,1425.167008
1900.0,32,01,7,1405292229.000891990,1405292236.001776924,7.000884934,1441.032306
1900.0,32,01,8,1405292236.649051336,1405292243.878751539,7.229700203,1496.81573
1900.0,4,01,2,1405294152.604338398,1405294184.647014348,32.042675950,3991.363406
1900.0,4,01,3,1405294187.103775762,1405294221.286401217,34.182625455,4198.472878
